Title,Summary,Genre,Feature
희생부활자,검사 진홍은 7년 전 오토바이 강도 사건으로 죽은 엄마가 집에 와있다는 누나의 전화를 받고 달려간다. 아무렇지도 않게 앉아 있는 엄마를 보고 아연실색한 진홍. 그런데 갑자기 엄마가 식칼을 들고 진홍을 공격한다. 그렇게 아꼈던 아들을.,영화 도서 원작 한국 영화 SF   판타지 판타지 영화 드라마 장르 영화 드라마 장르 영화 범죄,불길한 기운 긴장감 넘치는
유혹,"결혼 생활에 공허함을 느끼던 여인. 우연히 마주친 소설가의 유혹에 그만 이성을 내맡기고 만다. 그때는 미처 알지 못했다. 욕망에 만족이란 없다는 것을. 그리고, 남편의 인내심엔 한계가 있다는 것을.",한국 영화 드라마 장르 영화 드라마 장르 영화 관능적 로맨스 영화 드라마 장르 영화 로맨스 관능적 로맨틱 영화,관능적 은밀한 로맨스
화려한 휴가,"1980년 5월 광주, 작전명 ‘화려한 휴가’가 개시됐다. 평범한 시민들이 가족을 지키러 거리로 뛰쳐나갔던, 그리하여 계엄군에게 군화로 탱크로 짓밟혔던 그 열흘을 기록한다.",한국 영화 드라마 장르 영화 드라마 장르 영화 정치 사회 이슈 드라마,폭력 감동
말죽거리 잔혹사,"1978년 봄, 정문고로 전학 온 현수. 선생들의 혹독한 체벌과 학생들 간 세력 다툼으로 악명 높은 이곳에서, 우정과 사랑이 전부였던 이소룡 키드의 치열한 성장기가 펼쳐진다.",청춘 영화 한국 영화 드라마 장르 영화,풍부한 감정
바람난가족,"온 가족이 바람으로 대동단결? 잠자리가 뜸하다 했더니 각자 한참 어린 애인과 바람이 난 30대 부부. 이에 질세라, 시어머니까지 가세했다. 이 콩가루 집안, 어떡하면 좋지?",한국 영화 드라마 장르 영화 드라마 장르 영화 관능적,관능적 풍부한 감정
죽여주는 여자,"나랑 연애하고 갈래요? 노인들에게 자양강장제를 내밀며 은근히 말을 거는 박카스 할머니. '죽여주는 여자'로 불리며 노인 고객을 상대해 살아가던 어느 날, 진짜 죽여달라는 부탁을 받는다. 사는 게 고통인 노인의 애원, 그냥 외면할까?",한국 영화 드라마 장르 영화,색다른 이야기
은하,"살인 혐의로 수감된 은하. 교도소에서 유산하면서 삶의 의욕을 잃는다. 그런 그녀가 자꾸만 눈에 밟히는 교도관. 은하에게서 사별한 부인의 모습이 보이기 때문일까, 그녀와 사랑에 빠진 교도관은 위험한 수를 택한다. 모든 건 은하를 위해.",한국 영화 드라마 장르 영화 드라마 장르 영화 관능적 로맨스 영화 드라마 장르 영화 로맨스 관능적 로맨틱 영화,관능적 풍부한 감정 로맨스
좋은날,"제주도 출장에서 마주친 낯선 두 남녀. 남자는 지갑을, 여자는 휴대폰을 잃어버렸다. 서로가 필요해진 상황, 둘은 여행의 동반자가 되는데. 우연에서 인연을 기대해도 좋을까.",한국 영화 드라마 장르 영화 로맨스 영화 드라마 장르 영화 로맨스,기분 좋아지는 시간 가슴 뭉클 로맨스
용서받지 못한 자,"전역하고 1년. 군대 기억 따위는 말끔히 삭제한 민간인 태정에게 내무반 시절 부사수였던 동창 승영이 찾아온다. 힘들고 불안해 보이는 승영, 그동안 무슨 일이 있었던 거야?",한국 영화 드라마 장르 영화 드라마 장르 영화 밀리터리 인디 영화,논쟁적 다크
종이의 집,"1명의 천재, 8명의 공범, 철저히 준비한 세기의 강도. 스페인 조폐국에서 인질극까지 벌인 이들은 과연 포위 경찰을 따돌리고 거액의 돈과 함께 달아날 수 있을까?",스페인 TV 시리즈 TV 프로그램 스릴러,긴장감 넘치는 흥미진진
기묘한 이야기,"인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다.",TV 프로그램 SF TV 프로그램 10대 TV 프로그램 스릴러 TV 프로그램 호러 미국 TV 프로그램,불길한 기운 무서운 이야기 흥미진진
엄브렐러 아카데미,"초능력을 가진 남매들이 아버지의 장례식에서 다시 모인다. 그들 앞에 드러나는 가족의 비밀과 인류의 미래. 종말을 막아야 한다. 애증을 접고, 모두 손을 잡아라.",TV 프로그램 SF TV 프로그램 만화 원작 미국 TV 프로그램 TV 프로그램 액션   어드벤처,현실 붕괴 색다른 이야기 엉뚱 기발
보스 베이비: 돌아온 보스,사업의 기술을 가르쳐줄까? 회사로 형을 데려간 보스 베이비. 나이만 많았지 갈 길이 먼 형을 조련하기 시작한다. 장편 애니메이션이 원작인 시리즈. 재미는 보장한다!,TV 프로그램 키즈 도서 원작의 TV 프로그램 가족이 함께 보기 좋은 TV TV 프로그램 코미디 TV 만화,흥미진진
범인은 바로 너!,"유재석과 허당 탐정들의 예측불허 추리 예능. 당신이 웃어 넘긴 모든 순간이 단서가 된다! 추리는 초짜, 웃음만 고수인 7인의 허당 탐정단이 맞닥뜨리는 10개의 사건, 숨막히는 추적, 뜻밖의 손님들. 예측불허 사건 속, 탐정단은 과연 최후의 배후를 밝혀낼 수 있을 것인가.",TV 프로그램 버라이어티   토크쇼 한국 리얼리티 버라이어티   토크쇼 TV 프로그램 미스터리 TV 프로그램 코미디 버라이어티 예능 리얼리티  버라이어티   토크쇼,흥미진진
라바 아일랜드,"월드스타 라바가 넷플릭스와 만났다! 더 커진 웃음, 더 새로운 친구들, 라바 사상 최초 ‘인간’의 등장까지! 뉴욕을 떠나 무인도에 불시착한 레드와 옐로우의 좌충우돌 생존기! 과연 그들은 무사히 집에 돌아갈 수 있을까?",TV 프로그램 키즈 TV 프로그램 코미디 TV 만화,푼수 캐릭터
카케구루이,도박 능력으로 학생을 평가하는 '햣카오학원'. 도박광 전학생 쟈바미 유메코가 학교를 평정하러 출사표를 던진다.,일본 미스터리   스릴러 애니메이션 TV 프로그램 만화 원작 학원물 애니 일본 소년 만화를 만나다 일본 애니메이션 드라마 장르 일본 TV 프로그램 TV 프로그램 스릴러 애니 시리즈,흥미진진
